code,areaName,-8,1,2,3,4,5,6,7,8,9
8373,17740,10612,7503,5191,11347,9654,5449,3697,E14000713,Gosport,16701
11468,19204,10846,10245,5742,11623,12981,5948,4290,E14000714,Grantham and Stamford,20438
8562,16052,10500,9831,5154,10552,11545,7456,4903,E14000715,Gravesham,22346
5323,13068,9099,9054,5875,13086,14833,8396,3985,E14000717,Great Yarmouth,17029
22898,23319,9205,9573,4159,10132,9264,10520,10598,E14000718,Greenwich and Woolwich,26126
19064,25126,9607,10224,3436,7977,8103,12428,9493,E14000720,Hackney North and Stoke Newington,28755
6941,14218,10007,6392,4503,10342,10604,7128,4486,E14000722,Halesowen and Rowley Regis,17960
7993,14431,9853,7868,4549,10255,12534,9595,5212,E14000723,Halifax,21769
11556,18270,9864,8292,4355,7788,7550,4580,3667,E14000724,Haltemprice and Howden,14542
6744,13995,10144,6013,5875,11106,13024,7813,4263,E14000725,Halton,18540
20319,22204,8006,9328,3690,7517,7698,9725,11488,E14000726,Hammersmith,17853
28570,24552,7369,11013,2796,6669,6251,9944,9605,E14000727,Hampstead and Kilburn,21916
13707,19480,11118,9538,4327,9492,9948,5713,6423,E14000728,Harborough,19658
7819,16017,10686,9398,5117,10746,11818,6287,4548,E14000729,Harlow,21939
15538,20598,10001,9841,4164,9415,7979,4608,5062,E14000730,Harrogate and Knaresborough,17533
12834,15467,9727,15612,2821,7809,7359,10176,8000,E14000731,Harrow East,21380
5272,12650,8244,5595,5062,11056,11738,10531,4538,E14000733,Hartlepool,17652
10154,16735,9771,10477,4513,9830,8201,5188,5170,E14000734,Harwich and North Essex,15752
8388,18519,10676,13210,5024,12554,9590,8135,4459,E14000735,Hastings and Rye,18740
9047,15425,9382,9254,4877,11038,9306,6366,3542,E14000736,Havant,16768
8126,14474,10357,10518,5504,11696,13684,13691,9393,E14000737,Hayes and Harlington,28961
9983,15426,9478,6923,3393,7061,6330,4615,3032,E14000738,Hazel Grove,14133
12436,18582,11201,10261,4368,9070,9518,5411,4495,E14000739,Hemel Hempstead,22238
7433,14060,8846,7025,5798,10413,16689,7574,3689,E14000740,Hemsworth,18707
17922,21479,11104,17274,4007,9609,9065,12225,12094,E14000741,Hendon,31007
18547,20719,9533,11671,3765,6851,6205,3864,4243,E14000742,Henley,18354
8763,16411,8768,10691,4848,11164,11358,5307,3780,E14000743,Hereford and South Herefordshire,16451
17603,22930,12259,10279,4216,8294,7555,4488,5030,E14000744,Hertford and Stortford,22432
14924,19074,10675,11998,3474,7750,6388,5797,6112,E14000745,Hertsmere,21635
10870,14729,7091,8687,3359,6628,5794,4418,2972,E14000746,Hexham,11852
8292,15946,11147,8529,4987,10665,13237,8911,5177,E14000747,Heywood and Middleton,22495
10704,16289,8463,8658,5007,9090,9361,4550,3539,E14000748,High Peak,15273
20403,20991,9165,8747,2883,6132,5245,3612,4606,E14000749,Hitchin and Harpenden,21877
12292,18448,14050,10930,4506,9526,8320,7107,5351,E14000751,Hornchurch and Upminster,22094
