code,areaName,-8,0,1,2,3,4,5,6
13603,9870,14770,5743,18008,35216,2156,E14000841,North East Bedfordshire,24518
24683,12666,15467,6649,16475,20412,3361,E14000842,North East Cambridgeshire,21132
15231,8292,11273,5384,13971,21354,1909,E14000843,North East Derbyshire,15210
9082,7134,11850,3799,15083,36501,1903,E14000844,North East Hampshire,20556
12121,8417,11872,4149,13656,31142,1993,E14000845,North East Hertfordshire,19439
11810,7397,11493,4860,15026,27953,1841,E14000846,North East Somerset,17984
12999,6922,10571,4356,12796,26371,2028,E14000847,North Herefordshire,13450
15185,8552,11322,5274,11844,19832,2370,E14000848,North Norfolk,11241
16365,9403,14316,5782,16209,27644,2471,E14000849,North Shropshire,17965
10629,7464,11979,4690,14639,33488,2000,E14000850,North Somerset,18277
16654,12554,16185,6030,16842,25362,2914,E14000851,North Swindon,24679
17728,9635,12167,5229,14174,20723,2518,E14000852,North Thanet,17173
17569,9021,13072,6585,15408,24826,2191,E14000853,North Tyneside,18969
18987,12561,17313,6340,20431,34967,3190,E14000855,North West Cambridgeshire,29027
15240,7348,11286,5100,14611,22001,1962,E14000856,North West Durham,16349
13433,9624,13886,5061,17535,31112,2366,E14000857,North West Hampshire,21517
15813,8570,12133,5566,16173,25818,2092,E14000858,North West Leicestershire,18540
19240,10139,12426,5264,13088,19545,2747,E14000859,North West Norfolk,16235
10850,8083,12175,4455,14926,29705,1845,E14000860,North Wiltshire,17839
18264,9794,11457,4990,13815,24602,3073,E14000862,Northampton South,20832
14005,7578,9930,3620,20324,32771,2140,E14000864,Norwich South,15555
16238,7264,9283,3315,22114,28057,2389,E14000865,Nottingham East,18907
20676,9165,11474,4302,11810,16664,2374,E14000866,Nottingham North,22895
17511,9414,12070,4906,13799,20484,2156,E14000868,Nuneaton,19145
12468,7858,11025,3994,13060,22451,2091,E14000869,Old Bexley and Sidcup,16739
19422,8839,11505,5463,13922,22564,2451,E14000870,Oldham East and Saddleworth,24440
