code,areaName,-8,1,2,3,4,5,6,7,8,9
5850,10039,6548,4132,4970,4322,3473,3292,5230,E14000797,Loughborough,61286
4326,8314,4928,4230,4450,4942,3657,5355,6514,E14000800,Luton North,62032
7865,10809,6736,4229,4138,3934,3084,2019,3600,E14000802,Macclesfield,49157
10946,13958,8666,4609,4159,3644,2681,2011,3077,E14000803,Maidenhead,54196
7925,10677,7950,5386,5848,4652,3796,3723,6098,E14000804,Maidstone and The Weald,57110
4833,7484,5805,4642,5702,4950,3777,4459,5090,E14000805,Makerfield,52946
5675,17584,10736,5358,3906,6631,6289,3565,9200,E14000807,Manchester Central,87354
3357,9322,5333,3471,3127,4437,4862,3916,7206,E14000808,Manchester Gorton,75201
5957,17460,8192,3705,2307,3299,3470,1647,3847,E14000809,Manchester Withington,50385
4976,6575,5462,4363,6299,5826,4337,5093,8436,E14000810,Mansfield,59115
8107,10239,6769,4663,5453,3932,3039,2247,3271,E14000811,Meon Valley,50476
7928,10837,6406,5287,4425,4319,3422,3346,4804,E14000812,Meriden,63825
10599,13609,10168,6351,6497,4932,3507,3069,4386,E14000813,Mid Bedfordshire,59896
5314,9026,5535,3868,4328,3172,2772,2513,3289,E14000814,Mid Derbyshire,44128
5539,7710,5288,4014,4762,3616,2845,2090,3206,E14000815,Mid Dorset and North Poole,45335
6593,8078,6472,4720,6771,5522,3905,4025,5387,E14000816,Mid Norfolk,59900
9784,13363,9275,5486,5234,5443,3639,2315,4181,E14000817,Mid Sussex,56933
8067,9210,6414,4879,5972,4598,3764,4114,5191,E14000818,Mid Worcestershire,55533
2484,5247,3592,2976,3816,5132,3684,4011,5574,E14000819,Middlesbrough,60557
8967,14611,9774,6614,5403,5276,5473,4679,9338,E14000821,Milton Keynes North,69824
9331,15929,10164,7210,5601,5740,5880,4668,8719,E14000822,Milton Keynes South,73858
6378,11343,7318,5112,6369,5674,4793,3881,6863,E14000823,Mitcham and Morden,56240
9652,10996,7059,4380,4641,3690,2316,1423,2639,E14000824,Mole Valley,49859
4181,6150,4590,3389,5088,5277,3272,3358,4339,E14000825,Morecambe and Lunesdale,49656
6577,10798,8057,5999,5549,4375,4113,3498,4776,E14000826,Morley and Outwood,50879
5954,6673,4309,3352,4659,3935,2617,1715,3110,E14000828,New Forest West,48683
7520,8849,6113,4263,5157,4178,3434,3668,5195,E14000829,Newark,56181
3350,8593,4121,3126,3352,4030,4130,3047,5445,E14000831,Newcastle upon Tyne Central,64564
4766,10950,5556,4344,3988,4138,4111,2717,3855,E14000833,Newcastle upon Tyne North,53160
3989,7441,4696,3686,4425,4199,3579,3117,5185,E14000834,Newcastle-under-Lyme,48370
5473,7269,5126,3891,5466,4979,3514,2807,4149,E14000835,Newton Abbot,50841
5335,7389,6545,5286,6043,5485,4780,6555,8489,E14000836,Normanton Pontefract and Castleford,62357
5497,5373,3928,3051,7450,4557,3374,3208,4772,E14000837,North Cornwall,51813
6631,7702,5643,4232,6520,4352,3078,2912,4417,E14000839,North Dorset,52747
3950,6056,4680,4107,4363,4010,3597,3467,4262,E14000840,North Durham,48843
10333,13270,9859,6349,6806,5069,3983,3353,4719,E14000841,North East Bedfordshire,60146
6263,6870,6349,5064,7416,5898,4130,7340,7235,E14000842,North East Cambridgeshire,64280
5420,7343,4950,4184,5210,4240,3485,3117,4320,E14000843,North East Derbyshire,50355
10524,12843,9012,5062,4734,3849,2803,1724,2956,E14000844,North East Hampshire,52401
8572,11378,7467,4856,5091,4018,3086,2685,3825,E14000845,North East Hertfordshire,51812
6966,9818,6137,4756,5712,4280,2965,2777,4121,E14000846,North East Somerset,50835
6306,6942,4693,3735,6578,3828,2551,2691,4119,E14000847,North Herefordshire,48049
4706,4428,3513,2769,5543,4104,2951,2089,3789,E14000848,North Norfolk,51730
6941,7968,6068,4546,7287,5424,3683,4261,5637,E14000849,North Shropshire,58339
8046,11730,7227,5042,4502,3781,3062,2244,3598,E14000850,North Somerset,53933
6817,10553,8023,6199,6545,5521,5183,5829,6899,E14000851,North Swindon,59651
5283,6874,5315,3913,5303,5464,3398,2825,4179,E14000852,North Thanet,56794
4480,9418,6495,5954,4845,4954,5407,3594,5060,E14000853,North Tyneside,57434
9643,13333,9992,7435,7048,6002,5247,5454,7751,E14000855,North West Cambridgeshire,70911
4642,6903,5212,3909,5284,4636,3460,3714,4207,E14000856,North West Durham,51930
9156,11124,8755,6188,6107,4799,3651,3711,5390,E14000857,North West Hampshire,55655
7305,8940,6845,4828,5962,4407,3642,4481,5551,E14000858,North West Leicestershire,52744
